,Dates,Expo_smooth_pred,PLID,Product Family,Business Unit,holt_pred,Prophet_pred,SARMAX_pred,predictions_final,test_size
36,01-01-2023,181.0248092,8800-LC-48H,8000,CRBU,812.6782891,99.70182685,851.7021957,255.34224,S
37,01-02-2023,181.0446565,8800-LC-48H,8000,CRBU,852.900711,2661.383227,687.9058784,2346.686,L
38,01-03-2023,181.0605344,8800-LC-48H,8000,CRBU,892.7100144,5245.449782,759.4660739,2351.6448,L
39,01-04-2023,181.0732367,8800-LC-48H,8000,CRBU,932.1104424,7799.513661,885.1541691,3066.4326,L
40,01-05-2023,181.0833986,8800-LC-48H,8000,CRBU,971.1061946,10271.7069,739.0001483,6543.3447,XL
41,01-06-2023,181.0915281,8800-LC-48H,8000,CRBU,1009.701427,12612.01047,963.2495544,7856.662,XL
42,01-07-2023,181.0980316,8800-LC-48H,8000,CRBU,1047.900254,14773.53516,1606.603021,6565.9834,XL
43,01-08-2023,181.1032345,8800-LC-48H,8000,CRBU,1085.706747,16713.71967,945.5125397,5600.409,XL
44,01-09-2023,181.1073968,8800-LC-48H,8000,CRBU,1123.124934,18395.41342,1355.17326,23915.896,XL
45,01-10-2023,181.1107266,8800-LC-48H,8000,CRBU,1160.158805,19787.8149,582.6326123,4336.8506,L
46,01-11-2023,181.1133905,8800-LC-48H,8000,CRBU,1196.812307,20867.24032,826.5122969,290.89154,S
47,01-12-2023,181.1155216,8800-LC-48H,8000,CRBU,1233.089346,21617.70196,1090.816457,13819.259,XL
48,01-01-2023,287.2273292,8808-SYS,8000,CRBU,291.1982998,91.05186048,287.70727,134.92589,S
49,01-02-2023,288.4423852,8808-SYS,8000,CRBU,305.8836849,709.6675567,201.8842849,515.27576,M
50,01-03-2023,289.6452905,8808-SYS,8000,CRBU,320.4225157,1393.375328,162.2813288,925.8229,M
51,01-04-2023,290.8361669,8808-SYS,8000,CRBU,334.8162548,2134.392575,282.8751461,1511.9521,L
52,01-05-2023,292.0151344,8808-SYS,8000,CRBU,349.0663501,2922.918518,382.660128,1798.1716,L
53,01-06-2023,293.1823123,8808-SYS,8000,CRBU,363.174235,3747.295519,379.3524348,1502.1743,L
54,01-07-2023,294.3378184,8808-SYS,8000,CRBU,377.1413289,4594.2303,593.0265012,1959.1908,L
55,01-08-2023,295.4817694,8808-SYS,8000,CRBU,390.9690367,5449.069914,506.6839334,1817.4834,L
56,01-09-2023,296.614281,8808-SYS,8000,CRBU,404.6587494,6296.125697,526.4387894,1186.2499,M
57,01-10-2023,297.7354674,8808-SYS,8000,CRBU,418.2118443,7119.03688,392.0555416,853.628,M
58,01-11-2023,298.8454419,8808-SYS,8000,CRBU,431.6296847,7901.164279,396.715587,1122.958,M
59,01-12-2023,299.9443167,8808-SYS,8000,CRBU,444.9136203,8626.003462,530.6544745,1122.958,M
60,01-01-2023,160.5964312,88-LC0-36FH,8000,CRBU,151.6061919,136.682509,161,112.59847,S
61,01-02-2023,160.2732998,88-LC0-36FH,8000,CRBU,163.6540471,136.8519534,197.000018,146.1954,S
62,01-03-2023,160.0145734,88-LC0-36FH,8000,CRBU,175.6415623,137.0213978,127.000018,112.59847,S
63,01-04-2023,159.807415,88-LC0-36FH,8000,CRBU,187.5690396,137.1908422,183.000018,146.1954,S
64,01-05-2023,159.6415465,88-LC0-36FH,8000,CRBU,199.4367798,137.3602866,125.000018,112.59847,S
65,01-06-2023,159.508738,88-LC0-36FH,8000,CRBU,211.245082,137.529731,127.000018,112.59847,S
66,01-07-2023,159.4024003,88-LC0-36FH,8000,CRBU,222.9942439,137.6991754,259.000018,146.1954,S
67,01-08-2023,159.3172573,88-LC0-36FH,8000,CRBU,234.6845618,137.8686198,170.000018,146.1954,S
68,01-09-2023,159.2490845,88-LC0-36FH,8000,CRBU,246.3163303,138.0380642,193.000018,146.1954,S
69,01-10-2023,159.1944997,88-LC0-36FH,8000,CRBU,257.8898426,138.2075086,387.000018,249.7685,S
70,01-11-2023,159.1507944,88-LC0-36FH,8000,CRBU,269.4053906,138.376953,170.000018,146.1954,S
71,01-12-2023,159.1158002,88-LC0-36FH,8000,CRBU,280.8632645,138.5463974,286.000018,146.1954,S
72,01-01-2023,35.68977257,A9K-24X10GE-1G-TR,A9K9000,ERBU,108.1277121,227.2806955,248.8165438,209.06198,S
73,01-02-2023,35.38264302,A9K-24X10GE-1G-TR,A9K9000,ERBU,105.8675164,204.8441911,29.71312306,137.74347,S
74,01-03-2023,35.07858041,A9K-24X10GE-1G-TR,A9K9000,ERBU,103.629929,190.4103725,49.38170831,137.74347,S
75,01-04-2023,34.77755413,A9K-24X10GE-1G-TR,A9K9000,ERBU,101.4147238,184.9014018,151.1677705,175.46504,S
76,01-05-2023,34.47953384,A9K-24X10GE-1G-TR,A9K9000,ERBU,99.22167678,188.9969207,49.68648709,137.74347,S
77,01-06-2023,34.18448954,A9K-24X10GE-1G-TR,A9K9000,ERBU,97.05056644,203.1026757,94.78580142,175.46504,S
78,01-07-2023,33.89239149,A9K-24X10GE-1G-TR,A9K9000,ERBU,94.90117329,227.326291,157.9158944,175.46504,S
79,01-08-2023,33.6032103,A9K-24X10GE-1G-TR,A9K9000,ERBU,92.7732801,261.4611331,119.3563799,217.07193,S
80,01-09-2023,33.31691681,A9K-24X10GE-1G-TR,A9K9000,ERBU,90.66667181,304.9789851,90.65555673,245.69078,S
81,01-10-2023,33.03348221,A9K-24X10GE-1G-TR,A9K9000,ERBU,88.58113551,357.0319985,307.4305236,279.28763,S
82,01-11-2023,32.75287794,A9K-24X10GE-1G-TR,A9K9000,ERBU,86.51646043,416.4641187,53.7040576,207.96918,S
83,01-12-2023,32.47507573,A9K-24X10GE-1G-TR,A9K9000,ERBU,84.47243789,481.8319036,110.128016,409.92062,S
84,01-01-2023,393.3639471,8808-FC,8000,CRBU,627.7882945,56.58301117,560.2136804,239.50261,S
85,01-02-2023,394.7142547,8808-FC,8000,CRBU,636.3471657,742.1054785,559.3875438,627.0225,M
86,01-03-2023,396.0510593,8808-FC,8000,CRBU,644.6101097,1356.321769,573.7038184,1149.402,M
87,01-04-2023,397.3744958,8808-FC,8000,CRBU,652.5873583,1892.855996,560.105083,1341.4075,M
88,01-05-2023,398.684698,8808-FC,8000,CRBU,660.2887896,2345.884143,553.9442192,1701.9338,L
89,01-06-2023,399.9817981,8808-FC,8000,CRBU,667.7239401,2710.282526,565.3068913,2179.3276,L
90,01-07-2023,401.2659272,8808-FC,8000,CRBU,674.9020165,2981.806067,1620.42552,2239.2844,L
91,01-08-2023,402.5372151,8808-FC,8000,CRBU,681.8319074,3157.288897,1173.600971,2104.5586,L
92,01-09-2023,403.79579,8808-FC,8000,CRBU,688.5221939,3234.858169,1316.853754,2104.5586,L
93,01-10-2023,405.0417792,8808-FC,8000,CRBU,694.9811605,3214.150662,632.6726914,1502.1743,L
94,01-11-2023,406.2753086,8808-FC,8000,CRBU,701.216805,3096.520901,670.3199513,1793.8516,L
95,01-12-2023,407.4965026,8808-FC,8000,CRBU,707.2368491,2885.229045,629.1475421,2440.7976,L
96,01-01-2023,4.153809943,8812-SYS,8000,CRBU,18.34525164,15.80490171,17.85860918,47.76764,XS
97,01-02-2023,4.292058798,8812-SYS,8000,CRBU,19.60416803,43.9217248,17.51044136,47.76764,XS
98,01-03-2023,4.416320894,8812-SYS,8000,CRBU,20.85678984,69.53734026,18.78864045,47.76764,XS
99,01-04-2023,4.528011285,8812-SYS,8000,CRBU,22.10314853,91.63214663,16.82994165,63.60738,XS
100,01-05-2023,4.628401859,8812-SYS,8000,CRBU,23.34327544,109.3237498,15.81228085,74.876915,XS
101,01-06-2023,4.718635831,8812-SYS,8000,CRBU,24.5772017,121.8969172,17.66656792,74.876915,XS
102,01-07-2023,4.799740751,8812-SYS,8000,CRBU,25.80495834,128.8277472,22.79360964,74.876915,XS
103,01-08-2023,4.872640216,8812-SYS,8000,CRBU,27.02657619,129.8013219,18.61617441,74.876915,XS
104,01-09-2023,4.938164377,8812-SYS,8000,CRBU,28.24208595,124.7223213,0.513385197,65.37987,XS
105,01-10-2023,4.9970594,8812-SYS,8000,CRBU,29.45151817,113.7182995,58.82080281,74.876915,XS
106,01-11-2023,5.049995962,8812-SYS,8000,CRBU,30.65490322,97.13555721,83.65413018,101.32899,S
107,01-12-2023,5.097576886,8812-SYS,8000,CRBU,31.85227134,75.5277776,9.064497137,47.76764,XS
108,01-01-2023,12.84577411,A99-32X100GE-X-SE,A9K9000,ERBU,8.570280896,53.142436,-82.68339333,38.270596,XS
109,01-02-2023,12.72239341,A99-32X100GE-X-SE,A9K9000,ERBU,8.54465358,53.00501921,-86.70312919,38.270596,XS
110,01-03-2023,12.62368884,A99-32X100GE-X-SE,A9K9000,ERBU,8.524151727,47.0727099,-86.68140946,38.270596,XS
111,01-04-2023,12.54472518,A99-32X100GE-X-SE,A9K9000,ERBU,8.507750244,35.64798014,-86.57708948,38.270596,XS
112,01-05-2023,12.48155426,A99-32X100GE-X-SE,A9K9000,ERBU,8.494629058,19.17482409,-86.7007415,38.270596,XS
113,01-06-2023,12.43101752,A99-32X100GE-X-SE,A9K9000,ERBU,8.484132109,-1.775450438,-86.70002351,38.270596,XS
114,01-07-2023,12.39058813,A99-32X100GE-X-SE,A9K9000,ERBU,8.47573455,-26.52150907,18.95975308,47.76764,XS
115,01-08-2023,12.35824462,A99-32X100GE-X-SE,A9K9000,ERBU,8.469016503,-54.29183965,-70.75537595,38.270596,XS
116,01-09-2023,12.33236981,A99-32X100GE-X-SE,A9K9000,ERBU,8.463642065,-84.24658514,-67.75368342,38.270596,XS
117,01-10-2023,12.31166996,A99-32X100GE-X-SE,A9K9000,ERBU,8.459342515,-115.500739,-83.66128541,38.270596,XS
118,01-11-2023,12.29511008,A99-32X100GE-X-SE,A9K9000,ERBU,8.455902875,-147.148056,-61.79445642,38.270596,XS
119,01-12-2023,12.28186218,A99-32X100GE-X-SE,A9K9000,ERBU,8.453151163,-178.2850225,-69.70933798,38.270596,XS
120,01-01-2023,13.24304152,8818-SYS,8000,CRBU,13.93896741,17.17036299,-56.49790939,38.270596,XS
121,01-02-2023,13.43747474,8818-SYS,8000,CRBU,13.93418963,17.17815742,28.97645218,47.76764,XS
122,01-03-2023,13.59302131,8818-SYS,8000,CRBU,13.93036741,17.18595186,-47.47356266,38.270596,XS
123,01-04-2023,13.71745857,8818-SYS,8000,CRBU,13.92730963,17.1937463,11.95300253,47.76764,XS
124,01-05-2023,13.81700838,8818-SYS,8000,CRBU,13.9248634,17.20154074,-56.45439768,38.270596,XS
125,01-06-2023,13.89664823,8818-SYS,8000,CRBU,13.92290643,17.20933518,10.93457808,47.76764,XS
126,01-07-2023,13.9603601,8818-SYS,8000,CRBU,13.92134084,17.21712962,-27.43496802,38.270596,XS
127,01-08-2023,14.0113296,8818-SYS,8000,CRBU,13.92008838,17.22492406,10.9198251,47.76764,XS
128,01-09-2023,14.0521052,8818-SYS,8000,CRBU,13.9190864,17.2327185,-8.420224048,38.270596,XS
129,01-10-2023,14.08472569,8818-SYS,8000,CRBU,13.91828483,17.24051294,38.88336633,47.76764,XS
130,01-11-2023,14.11082207,8818-SYS,8000,CRBU,13.91764356,17.24830738,-61.65825654,38.270596,XS
131,01-12-2023,14.13169918,8818-SYS,8000,CRBU,13.91713055,17.25610182,10.51366997,47.76764,XS
132,01-01-2023,5496.066787,A900-IMA-8Z,NCS560,BATBU,1637.442233,2563.803613,1968.734777,2650.9573,L
133,01-02-2023,5547.612906,A900-IMA-8Z,NCS560,BATBU,1669.863952,-840.0237216,995.4113884,1914.6525,L
134,01-03-2023,5598.643564,A900-IMA-8Z,NCS560,BATBU,1701.961454,-3959.691,1169.924862,1990.9532,L
135,01-04-2023,5649.163915,A900-IMA-8Z,NCS560,BATBU,1733.737981,-6733.583977,1695.677599,1708.0511,L
136,01-05-2023,5699.179062,A900-IMA-8Z,NCS560,BATBU,1765.196742,-9110.416852,3059.59947,1658.6471,L
137,01-06-2023,5748.694059,A900-IMA-8Z,NCS560,BATBU,1796.340916,-11050.4692,2365.259484,1708.0511,L
138,01-07-2023,5797.713905,A900-IMA-8Z,NCS560,BATBU,1827.173649,-12526.48416,2281.886172,1708.0511,L
139,01-08-2023,5846.243553,A900-IMA-8Z,NCS560,BATBU,1857.698054,-13524.20663,1813.698437,1708.0511,L
140,01-09-2023,5894.287904,A900-IMA-8Z,NCS560,BATBU,1887.917214,-14042.55084,1827.389263,1708.0511,L
141,01-10-2023,5941.851812,A900-IMA-8Z,NCS560,BATBU,1917.834184,-14093.39693,1761.282424,1708.0511,L
142,01-11-2023,5988.94008,A900-IMA-8Z,NCS560,BATBU,1947.451983,-13701.02714,2130.014898,1708.0511,L
143,01-12-2023,6035.557466,A900-IMA-8Z,NCS560,BATBU,1976.773605,-12901.22188,483.7600888,1914.6525,L
144,01-01-2023,1945.450715,A9K-920-12CZ-A,A9K920,BATBU,1257.236864,2326.762808,2201.433353,2311.334,L
145,01-02-2023,1933.026923,A9K-920-12CZ-A,A9K920,BATBU,1237.691067,2353.051095,999.1899269,1930.2941,L
146,01-03-2023,1920.72737,A9K-920-12CZ-A,A9K920,BATBU,1218.340727,2205.016493,1305.344573,2171.98,L
147,01-04-2023,1908.550811,A9K-920-12CZ-A,A9K920,BATBU,1199.183891,1896.701088,2485.949316,1788.3602,L
148,01-05-2023,1896.496018,A9K-920-12CZ-A,A9K920,BATBU,1180.218624,1446.445744,1360.267535,1385.8918,M
149,01-06-2023,1884.561773,A9K-920-12CZ-A,A9K920,BATBU,1161.443009,876.2356456,2040.246318,977.5989,M
150,01-07-2023,1872.746871,A9K-920-12CZ-A,A9K920,BATBU,1142.85515,210.9550036,1993.216228,581.932,M
151,01-08-2023,1861.050118,A9K-920-12CZ-A,A9K920,BATBU,1124.45317,-522.4260216,1641.68107,500.6257,M
152,01-09-2023,1849.470332,A9K-920-12CZ-A,A9K920,BATBU,1106.235209,-1295.707456,2024.116198,500.6257,M
153,01-10-2023,1838.006344,A9K-920-12CZ-A,A9K920,BATBU,1088.199429,-2080.333153,2265.679688,500.6257,M
154,01-11-2023,1826.656996,A9K-920-12CZ-A,A9K920,BATBU,1070.344006,-2848.256233,1559.382388,500.6257,M
155,01-12-2023,1815.421141,A9K-920-12CZ-A,A9K920,BATBU,1052.667137,-3572.771245,2502.852176,500.6257,M
156,01-01-2023,150.2814393,A9K-8X100GE-TR,A9K9000,ERBU,123.4595396,137.2473746,15.95186989,74.876915,XS
157,01-02-2023,154.4583956,A9K-8X100GE-TR,A9K9000,ERBU,136.1281398,93.68178273,10.50801617,63.60738,XS
158,01-03-2023,158.5334186,A9K-8X100GE-TR,A9K9000,ERBU,148.672674,51.77042513,44.08398379,47.76764,XS
159,01-04-2023,162.5089959,A9K-8X100GE-TR,A9K9000,ERBU,161.0943573,12.25573278,39.22293498,47.76764,XS
160,01-05-2023,166.3875544,A9K-8X100GE-TR,A9K9000,ERBU,173.3943926,-24.18754326,38.10908002,47.76764,XS
161,01-06-2023,170.1714616,A9K-8X100GE-TR,A9K9000,ERBU,185.5739713,-56.96901705,20.30433594,47.76764,XS
162,01-07-2023,173.8630274,A9K-8X100GE-TR,A9K9000,ERBU,197.634273,-85.59697336,52.71522533,47.76764,XS
163,01-08-2023,177.4645053,A9K-8X100GE-TR,A9K9000,ERBU,209.576466,-109.6898737,29.36206662,47.76764,XS
164,01-09-2023,180.9780938,A9K-8X100GE-TR,A9K9000,ERBU,221.4017068,-128.9847249,46.12260929,47.76764,XS
165,01-10-2023,184.4059376,A9K-8X100GE-TR,A9K9000,ERBU,233.1111407,-143.3420648,73.69655055,47.76764,XS
166,01-11-2023,187.7501293,A9K-8X100GE-TR,A9K9000,ERBU,244.7059019,-152.7474213,73.45444708,47.76764,XS
167,01-12-2023,191.0127103,A9K-8X100GE-TR,A9K9000,ERBU,256.1871134,-157.3092048,98.09966093,85.489265,XS
168,01-01-2023,1448.005617,A9K-920-12SZ-IM,A9K920,BATBU,676.2887625,560.6603457,534.724322,555.2645,M
169,01-02-2023,1469.791177,A9K-920-12SZ-IM,A9K920,BATBU,694.7350812,1082.139299,345.1702384,937.5517,M
170,01-03-2023,1491.358882,A9K-920-12SZ-IM,A9K920,BATBU,712.9970875,1590.006282,618.4573043,1167.1431,M
171,01-04-2023,1512.710909,A9K-920-12SZ-IM,A9K920,BATBU,731.0766229,2079.736846,835.5144044,1654.2048,L
172,01-05-2023,1533.849417,A9K-920-12SZ-IM,A9K920,BATBU,748.9755108,2547.076758,461.2113058,2199.8298,L
173,01-06-2023,1554.776539,A9K-920-12SZ-IM,A9K920,BATBU,766.695556,2988.050046,528.8539465,2440.7976,L
174,01-07-2023,1575.49439,A9K-920-12SZ-IM,A9K920,BATBU,784.2385456,3398.965441,616.6058197,2379.3232,L
175,01-08-2023,1596.005063,A9K-920-12SZ-IM,A9K920,BATBU,801.6062487,3776.422578,569.7636662,2379.3232,L
176,01-09-2023,1616.310629,A9K-920-12SZ-IM,A9K920,BATBU,818.8004167,4117.319233,711.5615743,3572.2698,L
177,01-10-2023,1636.413139,A9K-920-12SZ-IM,A9K920,BATBU,835.8227835,4418.860626,1107.872119,4214.1655,L
178,01-11-2023,1656.314624,A9K-920-12SZ-IM,A9K920,BATBU,852.6750657,4678.571598,579.0971574,2911.3835,L
179,01-12-2023,1676.017095,A9K-920-12SZ-IM,A9K920,BATBU,869.3589628,4894.312138,781.5558586,3372.0596,L
180,01-01-2023,960,A9K-920-4SZ-D,A9K920,BATBU,773.556142,220.7107509,580.0786583,320.80875,S
181,01-02-2023,960,A9K-920-4SZ-D,A9K920,BATBU,862.9657227,155.3340332,265.6571009,206.26862,S
182,01-03-2023,960,A9K-920-4SZ-D,A9K920,BATBU,949.8967445,97.48551047,213.090353,194.99911,S
183,01-04-2023,960,A9K-920-4SZ-D,A9K920,BATBU,1034.417916,48.22096015,296.5514888,247.1453,S
184,01-05-2023,960,A9K-920-4SZ-D,A9K920,BATBU,1116.596043,8.306140516,281.4782685,247.1453,S
185,01-06-2023,960,A9K-920-4SZ-D,A9K920,BATBU,1196.496076,-21.80046038,215.0163196,247.1453,S
186,01-07-2023,960,A9K-920-4SZ-D,A9K920,BATBU,1274.181169,-41.95469498,507.0997989,307.48837,S
187,01-08-2023,960,A9K-920-4SZ-D,A9K920,BATBU,1349.712722,-52.32352123,256.0349144,247.1453,S
188,01-09-2023,960,A9K-920-4SZ-D,A9K920,BATBU,1423.150434,-53.37166656,239.9924914,247.1453,S
189,01-10-2023,960,A9K-920-4SZ-D,A9K920,BATBU,1494.55235,-45.83871551,440.5025058,307.48837,S
190,01-11-2023,960,A9K-920-4SZ-D,A9K920,BATBU,1563.974905,-30.70744936,515.2818319,307.48837,S
191,01-12-2023,960,A9K-920-4SZ-D,A9K920,BATBU,1631.472969,-9.164542359,922.0678922,307.48837,S
192,01-01-2023,36.09386448,A9K-9903,A9K9000,ERBU,29.08655871,49.7168063,142.934832,85.489265,XS
193,01-02-2023,36.1690019,A9K-9903,A9K9000,ERBU,29.1462481,116.2663733,16.47590704,74.876915,XS
194,01-03-2023,36.22914853,A9K-9903,A9K9000,ERBU,29.19400312,206.264161,13.68469178,137.74347,S
195,01-04-2023,36.2772952,A9K-9903,A9K9000,ERBU,29.23220993,318.7910472,22.80463208,207.96918,S
196,01-05-2023,36.31583605,A9K-9903,A9K9000,ERBU,29.26277763,452.247385,18.54596654,207.96918,S
197,01-06-2023,36.34668754,A9K-9903,A9K9000,ERBU,29.28723358,604.3753256,24.86978413,323.4681,S
198,01-07-2023,36.37138381,A9K-9903,A9K9000,ERBU,29.30679978,772.3002961,37.64600293,311.7532,S
199,01-08-2023,36.39115288,A9K-9903,A9K9000,ERBU,29.32245389,952.5908808,31.06910599,448.9421,S
200,01-09-2023,36.40697779,A9K-9903,A9K9000,ERBU,29.3349781,1141.335812,18.58401915,448.9421,S
201,01-10-2023,36.41964544,A9K-9903,A9K9000,ERBU,29.3449982,1334.236259,99.06642034,698.51355,M
202,01-11-2023,36.42978575,A9K-9903,A9K9000,ERBU,29.35301487,1526.711134,47.8224176,660.792,M
203,01-12-2023,36.43790295,A9K-9903,A9K9000,ERBU,29.35942867,1714.012716,59.94073806,496.67905,S
204,01-01-2023,321.982851,A9K-9901,A9K9000,ERBU,199.1356157,284.3264341,318.3909032,330.9612,S
205,01-02-2023,326.9163614,A9K-9901,A9K9000,ERBU,201.1277237,434.3785944,138.898618,245.69078,S
206,01-03-2023,331.8010197,A9K-9901,A9K9000,ERBU,203.099895,582.4875869,170.5692307,443.5176,S
207,01-04-2023,336.6373098,A9K-9901,A9K9000,ERBU,205.0523292,726.3856995,239.4679087,394.78665,S
208,01-05-2023,341.4257105,A9K-9901,A9K9000,ERBU,206.9852238,863.8872619,167.6694822,546.5785,M
209,01-06-2023,346.166696,A9K-9901,A9K9000,ERBU,208.8987743,992.9312348,183.5073434,747.57,M
210,01-07-2023,350.860736,A9K-9901,A9K9000,ERBU,210.7931743,1111.620992,328.5296217,747.57,M
211,01-08-2023,355.5082951,A9K-9901,A9K9000,ERBU,212.6686156,1218.260451,120.8861315,925.8229,M
212,01-09-2023,360.1098337,A9K-9901,A9K9000,ERBU,214.5252877,1311.385799,190.9897965,959.41986,M
213,01-10-2023,364.6658076,A9K-9901,A9K9000,ERBU,216.3633787,1389.792153,340.003781,1089.3286,M
214,01-11-2023,369.1766677,A9K-9901,A9K9000,ERBU,218.1830743,1452.554636,184.590313,1089.3286,M
215,01-12-2023,373.642861,A9K-9901,A9K9000,ERBU,219.9845588,1499.043439,301.6138056,1089.3286,M
216,01-01-2023,139.9452419,A9K-RSP5-TR,A9K9KFM,ERBU,291.1245417,590.6470318,864.9062989,566.94934,M
217,01-02-2023,137.9105255,A9K-RSP5-TR,A9K9KFM,ERBU,283.8259144,726.0711119,-59.35059006,434.4601,S
218,01-03-2023,135.8956551,A9K-RSP5-TR,A9K9KFM,ERBU,276.5993644,871.0287203,188.7338232,546.5785,M
219,01-04-2023,133.9004373,A9K-RSP5-TR,A9K9KFM,ERBU,269.44418,1023.250797,420.957862,747.57,M
220,01-05-2023,131.9246803,A9K-RSP5-TR,A9K9KFM,ERBU,262.3596563,1180.203667,270.9767175,747.57,M
221,01-06-2023,129.9681943,A9K-RSP5-TR,A9K9KFM,ERBU,255.3450955,1339.142232,360.3075626,959.41986,M
222,01-07-2023,128.0307914,A9K-RSP5-TR,A9K9KFM,ERBU,248.3998068,1497.169631,785.0577745,959.41986,M
223,01-08-2023,126.1122855,A9K-RSP5-TR,A9K9KFM,ERBU,241.523106,1651.301927,246.1800865,977.16095,M
224,01-09-2023,124.2124921,A9K-RSP5-TR,A9K9KFM,ERBU,234.7143159,1798.536239,334.8288915,1151.4258,M
225,01-10-2023,122.3312289,A9K-RSP5-TR,A9K9KFM,ERBU,227.9727657,1935.920597,454.0693655,1151.4258,M
226,01-11-2023,120.468315,A9K-RSP5-TR,A9K9KFM,ERBU,221.2977914,2060.62377,300.9493343,938.3121,M
227,01-12-2023,118.6235715,A9K-RSP5-TR,A9K9KFM,ERBU,214.6887356,2170.00328,313.1671604,986.041,M
228,01-01-2023,357.2206888,A9K-RSP5-SE,A9K9KFM,ERBU,242.4231945,565.3370558,411.7809224,495.1912,S
